Identifier	RA	DE	Type	Velocity	Redshift	Mag	Separ.	Ref	Note	idref	_RAJ2000	_DEJ2000
-------------------------	------------	-----------	-------	--------	---------	------	--------	-----	-----	----------	----------	----------
MESSIER 001	05 34 32.0	+22 00 52	SNR	...	...	...	0.005	61	0	69003	83.6333333333333	22.0144444444444
2MASX J05343184+2201158	05 34 31.8	+22 01 16	IrS	...	...	...	0.396	0	0	7656239	83.6325	22.0211111111111
2MASXi J0534296+220050	05 34 29.7	+22 00 50	IrS	...	...	...	0.525	0	0	1867090	83.62375	22.0138888888889
NVSS J053435+220034	05 34 35.3	+22 00 34	RadioS	...	...	...	0.831	0	0	175138282	83.6470833333333	22.0094444444444
2MASX J05343558+2200368	05 34 35.6	+22 00 37	IrS	...	...	...	0.880	1	0	7650020	83.6483333333333	22.0102777777778
NVSS J053428+220019	05 34 28.8	+22 00 19	RadioS	...	...	...	0.907	0	0	175138272	83.62	22.0052777777778
2MASX J05343429+2159578	05 34 34.3	+21 59 58	IrS	...	...	...	1.057	0	0	7650019	83.6429166666667	21.9994444444444
2MASX J05342709+2200478	05 34 27.1	+22 00 48	IrS	...	...	...	1.124	0	0	7650017	83.6129166666667	22.0133333333333
2MASXi J0534343+220201	05 34 34.3	+22 02 01	IrS	...	...	...	1.278	0	0	1867091	83.6429166666667	22.0336111111111
NVSS J053431+220213	05 34 31.8	+22 02 14	RadioS	...	...	...	1.362	0	0	175138277	83.6325	22.0372222222222
2MASX J05343342+2202298	05 34 33.4	+22 02 30	IrS	...	...	...	1.661	0	0	7650018	83.6391666666667	22.0416666666667
2MASX J05343803+2201467	05 34 38.0	+22 01 47	IrS	...	...	...	1.677	0	0	7650021	83.6583333333333	22.0297222222222
2MASX J05342623+2159468	05 34 26.2	+21 59 47	IrS	...	...	...	1.710	0	0	1775262	83.6091666666667	21.9963888888889
2MASX J05343917+2200137	05 34 39.2	+22 00 14	IrS	...	...	...	1.793	0	0	7656240	83.6633333333333	22.0038888888889
NVSS J053425+220159	05 34 25.4	+22 01 59	RadioS	...	...	...	1.875	0	0	175138263	83.6058333333333	22.0330555555556
NVSS J053439+220134	05 34 39.6	+22 01 34	RadioS	...	...	...	1.910	0	0	175138284	83.665	22.0261111111111
2MASX J05342616+2202208	05 34 26.2	+22 02 21	IrS	...	...	...	1.997	0	0	7656238	83.6091666666667	22.0391666666667
NVSS J053424+215940	05 34 24.3	+21 59 40	RadioS	...	...	...	2.142	0	0	10085234	83.60125	21.9944444444444
NVSS J053440+215949	05 34 40.2	+21 59 49	RadioS	...	...	...	2.188	0	0	5234938	83.6675	21.9969444444444
2MASXi J0534263+220250	05 34 26.3	+22 02 50	IrS	...	...	...	2.361	0	0	1867089	83.6095833333333	22.0472222222222
2MASX J05342156+2201498	05 34 21.6	+22 01 50	IrS	...	...	...	2.590	0	0	7650016	83.59	22.0305555555556
2MASX J05344385+2159537	05 34 43.8	+21 59 53	G	...	...	...	2.926	0	0	6500078	83.6825	21.9980555555556
MG2 J053432+2157	05 34 32.9	+21 57 55	RadioS	...	...	...	2.960	1	0	804186	83.6370833333333	21.9652777777778
MG2 J053439+2203	05 34 39.5	+22 03 53	RadioS	...	...	...	3.486	1	0	804189	83.6645833333333	22.0647222222222
MG2 J053430+2204	05 34 30.5	+22 04 22	RadioS	...	...	...	3.514	1	0	804183	83.6270833333333	22.0727777777778
2MASX J05341597+2159101	05 34 16.0	+21 59 10	G	...	...	...	4.073	0	0	1775254	83.5666666666667	21.9861111111111
MG2 J053411+2201	05 34 11.6	+22 01 53	RadioS	...	...	...	4.824	1	0	804175	83.5483333333333	22.0313888888889
MG2 J053450+2200	05 34 54.6	+22 00 17	RadioS	...	...	...	5.295	1	0	804195	83.7275	22.0047222222222
NVSS J053409+220200	05 34 09.0	+22 02 01	RadioS	...	...	...	5.438	0	0	6245320	83.5375	22.0336111111111
2MASX J05343916+2154547	05 34 39.2	+21 54 55	G	...	...	...	6.189	0	0	6518257	83.6633333333333	21.9152777777778
2MASX J05341454+2205431	05 34 14.5	+22 05 43	G	...	...	...	6.308	0	0	6513221	83.5604166666667	22.0952777777778
2MASX J05350020+2157357	05 35 00.2	+21 57 36	G	...	...	...	7.325	0	0	1775289	83.7508333333333	21.96
NVSS J053500+215707	05 35 00.8	+21 57 08	RadioS	...	...	...	7.659	0	0	10085269	83.7533333333333	21.9522222222222
NVSS J053445+215240	05 34 45.3	+21 52 40	RadioS	...	...	...	8.769	0	0	5235026	83.68875	21.8777777777778
NPF J053510.72+220308.2	05 35 10.7	+22 03 08	G	>30000	0.900000	18.32	9.267	1	0	2950350	83.7945833333333	22.0522222222222
NVSS J053352+215851	05 33 52.6	+21 58 52	RadioS	...	...	...	9.346	0	0	5234160	83.4691666666667	21.9811111111111
NVSS J053500+220752	05 35 00.4	+22 07 52	RadioS	...	...	...	9.624	0	0	5235283	83.7516666666667	22.1311111111111
NVSS J053418+215137	05 34 18.4	+21 51 38	RadioS	...	...	...	9.761	0	0	5234605	83.5766666666667	21.8605555555556
